Prop_ID,Name,Location,Num_of_Courts,Accessible,lat,lon
X039,Orchard Beach,"Bruckner Blvd., Eastchester Bay, Hutchinson River and LI Sound",,N,40.8688,73.7922
X151,P.O. Hillario Serrano Playground,Olmstead & Castle Hill Aves.,,N,40.8237,-73.8505
X177,Parker Playground,Castle Hill Ave. & Parker St.,,N,40.8392,-73.853
X162,Parkside Playground,Arnow Ave. & Olinville Ave.,,N,40.8682,-73.868
X155,Patterson Playground,Morris & College Aves.,,N,40.816,-73.9216
X039,Pelham Bay Playground,"Middletown Road, off Bruckner Blvd.",,N,40.8483,-73.8252
X148H1,Prospect Playground,Clinton Ave. & E 176 St.,,N,40.8432,-73.8906
X141,PS 21 Playground/Rienzi Playground,E 225 St. & White Plains Rd.,,N,40.8879,-73.8592
X133,PS 48 Playground/Hunts Point Playground,Faile St. & Hunts Point Ave.,,N,40.8225,-73.819
X203,Randall Playground,Randall & Castle Hill Aves.,,N,40.8193,-73.8494
X186,Riverdale Playground,W 237 St. & Independence Ave.,,N,40.8883,-73.9152
X238,Saw Mill Playground,Brook Avenue and East 140 Street,2.0,N,40.8088,-73.9193
X158,Sedgwick Playground,Undercliff Ave. & Cross Bronx Expwy.,,N,40.8455,-73.923
X201,Seton Park,W 235 St. & Douglas Ave.,,N,40.8864,-73.9171
X085,Slattery Playground,Ryer & Valentine Aves.,,N,40.8574,-73.8988
X118,Sound View Park,Bronx River & Lafayette Aves.,,Y,40.8143,-73.8655
X221,Space-Time Playground,Lafayette & Bolton Aves.,,N,40.8225,-73.8598
X171,Spuyten Duyvil Playground,W 236 St. & Douglas Ave.,,N,40.8871,-73.9156
X044,St. James Park,E 193 St. & Jerome Ave.,,Y,40.8658,-73.8972
X045,St. Mary's Playground East,Jackson Ave. & St. Mary's St.,,N,40.8125,-73.9138
X045,St. Mary's Playground West,Saint Ann's Ave. & E 147 St.,,N,40.8102,-73.9105
X193,Stars & Stripes Playground,Crawford & Baychester Aves.,,N,40.8857,-73.8396
X211,Stebbins Playground,E 165 St. & Stebbins Ave.,,N,40.8226,-73.8983
X204,Story Playground,Theriot & Story Aves.,,N,40.8229,-73.8631
X172,The Pearly Gates Playground,Tratman & Saint Peter's Aves.,,N,40.8659,-73.8503
X190,Tiffany Playground,"Fox, Tiffany & E 167 Sts.",,N,40.8249,-73.8944
X092,Van Cortlandt Park Basketball Court,Broadway between Van Cortlandt Park South and West 242nd Street (next to the stadium),,N,40.8853,-73.891
X188,Wakefield Playground,Carpenter Ave. & E 239 St.,,N,40.9018,-73.8543
X002,Waring Playground,Waring Ave. & Bronx Pk E.,,N,40.8602,-73.8715
X124,Watson Gleason Playground,Watson & Rosedale Aves.,,N,40.8281,-73.8689
X174,Webster Playground,E 188 St. & Webster Ave.,,N,40.8594,-73.8927
